RPM,deltaT
0.0,0.0
826.116,72629
2029.15,29569
2542.37,23600
2904.16,20660
3178.47,18877
3400.97,17642
3598.42,16674
3733.2,16072
3889.28,15427
3996.54,15013
4088.03,14677
4187.9,14327
4290.62,13984
4346.57,13804
4392.39,13660
4489.34,13365
4509.24,13306
4580.15,13100
4631.77,12954
4655.13,12889
4675.08,12834
4745.71,12643
4742.71,12651
4784.69,12540
4776.69,12561
4874.09,12310
4872.9,12313
4878.05,12300
4877.26,12302
4911.99,12215
4929.35,12172
4940.71,12144
4977.6,12054
4945.19,12133
4975.54,12059
5018.82,11955
4992.93,12017
4992.51,12018
5014.21,11966
5006.26,11985
5062.44,11852
5049.23,11883
5040.32,11904
5034.82,11917
5068,11839
3488.17,17201
3273.86,18327
5072.71,11828
5077.43,11817
5065.43,11845
5085.18,11799
5083.02,11804
5073.57,11826
5133.03,11689
5052.21,11876
5140.51,11672
5078.29,11815
5099.87,11765
5126.89,11703
5081.73,11807
5106.38,11750
5124.7,11708
5090.35,11787
5108.99,11744
5093.38,11780
5149.33,11652
5119.02,11721
5108.99,11744
5068.42,11838
5133.47,11688
5150.21,11650
5098.14,11769
5118.14,11723
5116.83,11726
5111.6,11738
5128.64,11699
5125.14,11707
5113.78,11733
5151.1,11648
5104.65,11754
5142.27,11668
5122.51,11713
5108.12,11746
5143.59,11665
5105.95,11751
5105.51,11752
5168.4,11609
5083.02,11804
5168.4,11609
5105.08,11753
5130.84,11694
5144.47,11663
5125.58,11706
5133.91,11687
5127.77,11701
5105.95,11751
5110.73,11740
5168.4,11609
5130.4,11695
5126.89,11703
5109.86,11742
5150.21,11650
5132.15,11691
5106.82,11749
5133.91,11687
5149.77,11651
5131.27,11693
5106.82,11749
5137.87,11678
5130.4,11695
5129.52,11697
5153.31,11643
5089.92,11788
5171.97,11601
5132.59,11690
5132.59,11690
5091.65,11784
5173.75,11597
5092.08,11783
5154.64,11640
5134.35,11686
5154.64,11640
5112.91,11735
5131.27,11693
5132.59,11690
5114.65,11731
5173.31,11598
5093.81,11779
5177.77,11588
5113.35,11734
5135.67,11683
5157.3,11634
5136.55,11681
5115.09,11730
5151.98,11646
5140.95,11671
5113.78,11733
5135.67,11683
5154.2,11641
5136.11,11682
5136.11,11682
5137.87,11678
5136.11,11682
5139.19,11675
5139.19,11675
5113.78,11733
5136.11,11682
5157.74,11633
5137.87,11678
5136.11,11682
5136.11,11682
5141.83,11669
5133.47,11688
5118.14,11723
5116.4,11727
5154.2,11641
5140.07,11673
5156.41,11636
5112.91,11735
5157.3,11634
5133.47,11688
5107.69,11747
5135.67,11683
5162.62,11622
5119.02,11721
5153.31,11643
5134.79,11685
5115.96,11728
5138.75,11676
5152.43,11645
5118.14,11723
5137.87,11678
5136.11,11682
5117.71,11724
5155.97,11637
5157.74,11633
5136.11,11682
5139.19,11675
5115.96,11728
5137.87,11678
5137.43,11679
5136.55,11681
5137.87,11678
5158.18,11632
5135.67,11683
5138.31,11677
5117.71,11724
5157.74,11633
5116.83,11726
5136.99,11680
5136.99,11680
5136.55,11681
5160.85,11626
