RPM,deltaT
0.0,0.0
104.859,572197
179.711,333870
214.512,279705
236.22,254001
250.817,239218
261.702,229268
270.638,221698
276.735,216814
281.776,212935
285.52,210143
288.344,208085
291.035,206161
293.159,204667
294.619,203653
295.601,202976
296.1,202634
321.124,186844
379.689,158024
418.977,143206
447.808,133986
468.97,127940
485.472,123591
499.804,120047
511.217,117367
520.233,115333
528.746,113476
535.27,112093
540.58,110992
545.727,109945
549.199,109250
552.837,108531
556.318,107852
559.394,107259
561.608,106836
563.274,106520
564.977,106199
566.262,105958
567.779,105675
568.629,105517
569.39,105376
570.396,105190
569.844,105292
570.055,105253
570.066,105251
570.337,105201
570.207,105225
570.825,105111
571.494,104988
571.227,105037
571.064,105067
570.89,105099
580.849,103297
617.347,97190
648.845,92472
674.984,88891
696.565,86137
714.967,83920
730.442,82142
745.518,80481
755.867,79379
767.853,78140
776.076,77312
785.525,76382
792.424,75717
798.892,75104
805.023,74532
810.055,74069
815.073,73613
818.867,73272
822.143,72980
826.401,72604
829.027,72374
830.53,72243
833.854,71955
836.039,71767
838.785,71532
839.055,71509
842.283,71235
842.129,71248
844.511,71047
844.107,71081
846.621,70870
846.286,70898
849.726,70611
849.221,70653
849.449,70634
850.943,70510
851.607,70455
852.503,70381
853.388,70308
853.849,70270
854.117,70248
853.922,70264
855.945,70098
854.993,70176
855.164,70162
855.578,70128
855.164,70162
857.204,69995
857.339,69984
856.837,70025
857.18,69997
857.694,69955
857.278,69989
857.743,69951
866.564,69239
892.313,67241
915.709,65523
935.366,64146
952.956,62962
968.085,61978
983.655,60997
994.695,60320
1007.02,59582
1017.14,58989
1026.01,58479
1034.59,57994
1043.26,57512
1048.79,57209
1056.58,56787
1062.27,56483
1070.82,56032
1072.94,55921
1078.9,55612
1083.03,55400
1087.72,55161
1089.6,55066
1093.85,54852
1096.85,54702
1099.55,54568
1102.13,54440
1105.66,54266
1106.22,54239
1110.33,54038
1111.46,53983
1114.29,53846
1114.81,53821
1117.05,53713
1119.51,53595
1120.34,53555
1121.75,53488
1122.99,53429
1124.73,53346
1125.89,53291
1127.18,53230
1127.57,53212
1128.8,53154
1129.09,53140
1129.99,53098
1129.58,53117
1131.33,53035
1131.86,53010
1133.98,52911
1134.84,52871
1135.25,52852
1136.41,52798
1136.04,52815
1579.78,37980
4066.42,14755
1136.95,52773
1137.46,52749
1137.55,52745
1138.67,52693
1138.2,52715
1139.86,52638
1139.28,52665
1139.38,52660
1138.74,52690
1140.6,52604
1137.31,52756
1140.12,52626
1139.56,52652
1140.55,52606
1139.75,52643
1140.29,52618
1139.8,52641
1141.07,52582
1139.21,52668
1140.12,52626
1152.41,52065
1170.66,51253
1184.83,50640
1200.6,49975
1215.09,49379
1225.99,48940
1239.62,48402
1247.51,48096
1259.95,47621
1268.18,47312
1274.45,47079
1283.81,46736
1291.21,46468
1298.14,46220
1303.44,46032
1311.1,45763
1317.29,45548
1320.02,45454
1325.79,45256
1329.46,45131
1335.38,44931
1340.84,44748
1341.26,44734
1349.25,44469
1349.86,44449
1350.99,44412
1358.33,44172
1356.48,44232
1361.04,44084
1364.01,43988
1368.11,43856
1367.55,43874
1372.21,43725
1371.65,43743
1374.98,43637
1376.21,43598
1378.64,43521
1376.94,43575
1381.15,43442
1384.31,43343
1384.31,43343
1386.9,43262
1384.47,43338
1388.99,43197
1387.54,43242
1391.63,43115
1389.18,43191
1394.12,43038
1392.63,43084
1396.36,42969
1398.18,42913
1396.97,42950
1395.71,42989
1399.35,42877
1397.79,42925
1400.17,42852
1400.46,42843
1400.82,42832
1401.71,42805
1402.39,42784
1402.56,42779
1403.61,42747
1402.56,42779
1407.49,42629
1405.05,42703
1405.12,42701
1404.66,42715
1404.33,42725
1408.29,42605
1405.84,42679
1409.44,42570
1407.36,42633
1406.07,42672
1408.02,42613
1408.09,42611
1408.22,42607
1408.19,42608
1410.27,42545
1406.96,42645
1407.33,42634
1412.13,42489
1409.34,42573
1407.06,42642
1412.56,42476
1410.14,42549
1412,42493
1409.58,42566
1413.29,42454
1408.52,42598
1414.93,42405
1413.79,42439
1428.37,42006
1441.13,41634
1458.58,41136
1468.29,40864
1482.87,40462
1494.36,40151
1500.6,39984
1514.85,39608
1520.26,39467
1530.14,39212
1536.02,39062
1545.28,38828
1554.48,38598
1558.97,38487
1564.78,38344
1570.93,38194
1573.36,38135
1576.75,38053
1584.53,37866
1584.83,37859
1591.81,37693
1597.36,37562
1597.15,37567
1604.58,37393
1604.41,37397
1610.65,37252
1614.51,37163
1619.48,37049
1617.21,37101
1628.05,36854
1625.62,36909
1630.83,36791
1628.4,36846
1634.52,36708
1634.52,36708
1636.13,36672
1636.62,36661
1638.99,36608
1640.6,36572
1642.4,36532
1642.35,36533
1642.44,36531
1648.17,36404
1647.4,36421
1646.77,36435
1650.07,36362
1651.03,36341
1654.4,36267
1652.12,36317
1657.32,36203
1654.44,36266
1657.55,36198
1652.53,36308
1660.62,36131
1661.77,36106
1658.28,36182
1664.49,36047
1661.18,36119
1663.99,36058
1664.63,36044
1665.33,36029
1663.62,36066
1668.29,35965
1664.68,36043
1665.7,36021
1663.8,36062
1661.22,36118
1664.22,36053
1664.31,36051
1665.79,36019
1664.36,36050
1662.79,36084
1663.8,36062
1669.36,35942
1670.89,35909
1668.06,35970
1673.31,35857
1670.24,35923
1673.31,35857
1673.17,35860
1675,35821
1675.79,35804
1677.81,35761
1674.11,35840
1679.36,35728
1676.07,35798
1677.62,35765
1678.51,35746
1678.89,35738
1679.12,35733
1679.31,35729
1677.48,35768
1684.68,35615
1677.71,35763
1680.44,35705
1681.61,35680
1682.51,35661
1682.7,35657
1680.3,35708
1685.06,35607
1682.7,35657
1682.84,35654
1685.77,35592
1680.81,35697
1686.06,35586
1682.23,35667
1684.68,35615
1684.68,35615
1690.33,35496
1698.56,35324
1713.7,35012
1725.18,34779
1736.56,34551
1741,34463
1760.51,34081
1761.55,34061
1774.31,33816
1778.04,33745
1788.48,33548
1791.79,33486
1804.89,33243
1808.75,33172
1815.05,33057
1820.61,32956
1826.71,32846
1834.53,32706
1834.47,32707
2181.98,27498
1595.91,37596
1852.48,32389
1849.28,32445
1856.49,32319
1867.01,32137
1860.12,32256
1872.19,32048
1869.74,32090
1877.99,31949
1879.58,31922
1882.53,31872
1887.8,31783
1884.72,31835
1889.82,31749
1895.91,31647
1894.12,31677
1898.07,31611
1898.91,31597
1902.59,31536
1900.3,31574
1907.61,31453
1904.64,31502
1912.96,31365
1914.49,31340
1910.71,31402
1913.2,31361
1916.5,31307
1920.55,31241
1914.49,31340
1920.55,31241
1921.6,31224
1921.41,31227
1925.05,31168
1926.16,31150
1925.61,31159
1924,31185
1927.65,31126
1927.15,31134
1928.08,31119
1928.02,31120
1928.08,31119
1926.41,31146
1931,31072
1928.7,31109
1929.01,31104
1930.13,31086
1931.25,31068
1933.92,31025
1930.69,31077
1928.95,31105
1931.06,31071
1934.3,31019
1931.99,31056
1929.2,31101
1935.17,31005
1930.32,31083
1931.25,31068
1931.99,31056
1931.81,31059
1929.26,31100
1934.86,31010
1932.68,31045
1936.23,30988
1929.63,31094
1933.43,31033
1934.55,31015
1934.92,31009
1939.36,30938
1934.86,31010
1937.86,30962
1940.93,30913
1933.05,31039
